City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Medal
Montreal,1976,Aquatics,Diving,3m springboard,KÖHLER  Christa,Women,GDR,Silver
Montreal,1976,Aquatics,Diving,3m springboard,KOSENKOV  Aleksandr,Men,URS,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,BOGGS  Philip George,Men,USA,Gold
Montreal,1976,Aquatics,Diving,3m springboard,CAGNOTTO  Giorgio Franco,Men,ITA,Silver
Montreal,1976,Aquatics,Diving,10m platform,WILSON  Deborah Keplar,Women,USA,Bronze
Montreal,1976,Aquatics,Diving,10m platform,LOUGANIS  Gregory,Men,USA,Silver
Montreal,1976,Aquatics,Diving,10m platform,VAYTSEKHOVSKAYA  Elena,Women,URS,Gold
Montreal,1976,Aquatics,Diving,3m springboard,POTTER-MCINGVALE  Cynthia,Women,USA,Bronze
Montreal,1976,Aquatics,Diving,10m platform,DIBIASI  Klaus,Men,ITA,Gold
Montreal,1976,Aquatics,Diving,10m platform,ALEINIK  Vladimir,Men,URS,Bronze
Montreal,1976,Aquatics,Diving,10m platform,KNAPE-LINDBERGH  Ulrika,Women,SWE,Silver
Montreal,1976,Aquatics,Diving,3m springboard,CHANDLER  Jennifer Kay,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,BABASHOFF  Shirley Farber,Women,USA,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,SHAW  Timothy Andrew,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,PRIEMER  Petra,Women,GDR,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,HOLLAND  Stephen,Men,AUS,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,SMIRNOV  Andrei,Men,URS,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,ANKE  Hannelore,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,BABASHOFF  Shirley Farber,Women,USA,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,THÜMER  Petra,Women,GDR,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,SMITH  Rebecca,Women,CAN,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,ROCCA  Peter Drake,Men,USA,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,GOODELL  Brian Stuart,Men,USA,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,MCKEE  Alexander Timothy,Men,USA,Silver
